         FINAL PRE-CLEARING PRICES AS OF 11/12/14 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
ACD AUSTRALIAN DOLLAR/CANADIAN DOLLAR CROSSRATE FUT
JUN15      ----      ----      ----      ----    .26294     +42                 .26252
SEP15      ----      ----      ----      ----    .26333     +48                 .26285
DEC15      ----      ----      ----      ----    .26376     +43                 .26333
MAR16      ----      ----      ----      ----    .26443     +48                 .26395
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                        4
J7 CME E-MINI JAPANESE YEN FUTURES
DEC14      8637      8705B     8630      8662B     8656     +13         717       8643        1282        2070
MAR15      8650      8715B     8640A     8672A     8666     +13          27       8653          17         120
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                   744                   1299        2190
JY CME JAPANESE YEN FUTURES
DEC14      8635      8706      8628      ----      8656     +13      209039       8643      206251      223177
MAR15      8649      8715B     8640A     ----      8666     +13         772       8653        1574        4290
JUN15      8719      8722B     8650A     ----      8677     +14           6       8663           8          75
SEP15      ----      8731B     8675A     ----      8691     +14                   8677           1          26
DEC15      8720      8726B     8698A     ----      8713     +14          10       8699                       5
MAR16      ----      8737B     ----      ----      8746     +14                   8732                       3
JUN16      ----      ----      ----      ----      8779     +14                   8765
SEP16      ----      ----      ----      ----      8816     +15                   8801
DEC16      ----      ----      ----      ----      8860     +14                   8846
MAR17      ----      ----      ----      ----      8918     +15                   8903
JUN17      ----      ----      ----      ----      8986     +14                   8972
SEP17      ----      ----      ----      ----      9051     +15                   9036
DEC17      ----      ----      ----      ----      9116     +15                   9101
MAR18      ----      ----      ----      ----      9182     +15                   9167
JUN18      ----      ----      ----      ----      9250     +16                   9234
SEP18      ----      ----      ----      ----      9318     +16                   9302
